city,districts,state,Environmental Stance,Latitude,Longitude,aqi,idx,carbon_intensity,temp_f,is_day,wind_mph,wind_degree,pressure_in,precip_in,humidity,cloud,feelslike_f,windchill_f,heatindex_f,dewpoint_f,vis_miles,uv,gust_mph,livability,livability_percentile
Mount Prospect,['IL-9'],Illinois,0.0,42.0603,-87.8631,24.0,9523.0,349.0,60.1,1.0,12.5,40.0,29.82,0.02,83.0,100.0,60.1,60.8,62.4,59.9,9.0,4.0,17.0,73.76177131226113,87.58344459279039
Normal,['IL-13'],Illinois,100.0,40.5169,-88.9975,37.0,9513.0,532.0,77.0,1.0,16.1,230.0,29.79,0.01,66.0,100.0,82.7,67.7,67.7,66.2,9.0,4.0,20.6,71.58868365151834,9.879839786381844
Wheaton,['IL-6'],Illinois,0.0,41.7714,-88.1522,18.0,9535.0,349.0,60.1,1.0,16.1,30.0,29.8,0.02,90.0,100.0,60.1,66.6,67.7,63.2,2.0,5.0,20.6,73.075720541556,78.90520694259013
Hoffman Estates,['IL-8'],Illinois,0.0,42.0603,-87.8631,24.0,9523.0,349.0,60.1,1.0,23.0,20.0,29.79,0.02,86.0,100.0,60.1,61.0,62.7,61.4,4.0,4.0,27.5,73.42944448430949,84.11214953271028
Oak Park,['IL-7'],Illinois,0.0,41.864329,-87.748826,26.0,7595.0,349.0,62.1,1.0,21.7,360.0,29.79,0.02,84.0,100.0,62.1,66.1,67.1,60.7,1.0,4.0,26.2,72.77766780320447,69.42590120160213
Downers Grove,['IL-6'],Illinois,0.0,41.7714,-88.1522,18.0,9535.0,349.0,60.1,1.0,23.0,20.0,29.79,0.01,86.0,100.0,60.1,68.5,69.5,63.1,4.0,5.0,27.5,72.71627178179645,68.22429906542055
Elmhurst,['IL-6'],Illinois,0.0,41.864329,-87.748826,26.0,7595.0,349.0,60.1,1.0,23.0,20.0,29.79,0.01,86.0,100.0,60.1,66.1,67.1,62.3,4.0,4.0,27.5,72.7436747692988,68.75834445927904
Glenview,['IL-9'],Illinois,0.0,42.0603,-87.8631,24.0,9523.0,349.0,60.1,1.0,12.5,40.0,29.82,0.02,83.0,100.0,60.1,60.0,61.8,58.0,9.0,4.0,14.1,73.72940503459408,87.24966622162884
DeKalb,['IL-16'],Illinois,5.555555555555555,42.267002,-89.08917,13.0,11934.0,349.0,,,,,,,,,,,,,,,,76.17777113266018,94.79305740987985
Lombard,['IL-6'],Illinois,0.0,41.7714,-88.1522,18.0,9535.0,349.0,60.1,1.0,23.0,20.0,29.79,0.01,86.0,100.0,60.1,66.7,67.7,63.0,4.0,5.0,27.5,72.89114105091448,72.76368491321762
Belleville,['IL-12'],Illinois,0.0,38.611893,-90.160614,34.0,7398.0,532.0,68.7,1.0,16.1,290.0,29.73,0.0,56.0,75.0,68.7,64.8,64.8,51.6,14.0,5.0,31.0,73.06463405898924,78.63818424566088
Moline,['IL-17'],Illinois,97.2222222222222,41.5144,-90.5172,23.0,9516.0,532.0,68.2,1.0,11.9,350.0,29.81,0.01,81.0,100.0,68.2,66.4,66.7,65.6,9.0,5.0,14.5,72.11226022414365,32.97730307076102
Buffalo Grove,['IL-10'],Illinois,100.0,42.0603,-87.8631,24.0,9523.0,349.0,60.1,1.0,12.5,40.0,29.82,0.02,83.0,100.0,60.1,59.6,61.2,58.2,9.0,4.0,17.0,72.58414290996005,63.81842456608812
Bartlett,['TN-8'],Tennessee,0.0,41.7714,-88.1522,18.0,9535.0,311.0,88.2,1.0,13.6,220.0,29.86,0.01,46.0,0.0,94.9,81.3,84.0,66.2,9.0,6.0,14.6,72.56676031478946,62.75033377837116
Urbana,['IL-13'],Illinois,100.0,39.8669,-88.9256,34.0,7401.0,532.0,80.1,1.0,13.6,220.0,29.79,0.0,52.0,75.0,86.3,69.1,70.9,65.4,9.0,5.0,19.3,71.42710497971756,8.210947930574099
Quincy,['MA-8'],Massachusetts,0.0,41.400968,-91.067957,65.0,6921.0,274.0,73.9,1.0,19.2,270.0,29.66,0.0,46.0,75.0,76.5,71.6,75.7,49.7,9.0,6.0,23.7,71.85031856783971,13.351134846461948
Crystal Lake,['IL-14'],Illinois,91.66666666666666,42.2211,-88.2411,26.0,7403.0,349.0,60.1,1.0,12.5,40.0,29.82,0.04,83.0,100.0,60.1,57.6,59.3,56.5,9.0,3.0,13.8,72.2434656051644,40.720961281708945
Plainfield,['NJ-12'],New Jersey,97.2222222222222,41.526885,-88.116474,16.0,9640.0,349.0,80.1,1.0,8.1,290.0,29.77,0.0,39.0,25.0,79.4,77.9,78.1,49.5,9.0,7.0,13.2,71.66833904397738,10.54739652870494
Streamwood,['IL-8'],Illinois,0.0,42.2211,-88.2411,26.0,7403.0,349.0,60.1,1.0,16.1,30.0,29.8,0.01,90.0,100.0,60.1,61.1,63.0,62.5,2.0,4.0,20.6,73.51647505503134,85.04672897196261
